virus,realm,locus_tag,host,type,shape,corr,p.value
Eptesicus serotinus papillomavirus 2,Monodnaviria,D1R37,vertebrates,DNA,circular,-0.380946814728229,0.00309885928389882
Human astrovirus,Riboviria,HAstVgp,human,ss-RNA,linear,-0.351899473991818,0.00653449185512775
Mycobacterium phage Wildcat,Duplodnaviria,Wildcat,bacteria,DNA,linear,0.504967855055523,5.74248482974383e-05
Maize-associated totivirus 3,Riboviria,C1182,land plants,RNA,linear,-0.139333722969024,0.291736930343175
Synechococcus phage ACG-2014i,Duplodnaviria,ABY41,bacteria,DNA,circular,-0.218819403857393,0.0959054473582885
Tomato leaf curl Malaysia virus,NA,ToLCMVgp,NA,ss-DNA,circular,-0.369082407948568,0.00423519836570382
Rocio virus,Riboviria,EXL02,human:invertebrates,RNA,linear,-0.115488018702513,0.382752275470338
Cellulophaga phage phi38:1,Duplodnaviria,Phi38,bacteria,DNA,circular,-0.402104032729398,0.00172740765007459
Escherichia phage K1ind1,Duplodnaviria,FDH14,bacteria,DNA,circular,0.0382232612507306,0.773276424764401
Bacillus phage CP-51,Duplodnaviria,OZ73,bacteria,DNA,linear,-0.277147866744594,0.0339126467737132
Spodoptera eridania nucleopolyhedrovirus,Naldaviricetes,KM666,invertebrates,DNA,circular,-0.0673290473407364,0.611506249068883
Dahlia mosaic virus,Riboviria,C716,land plants,DNA,circular,-0.328287551139684,0.0114522226783169
Lactococcus phage M5938,Duplodnaviria,BI061,bacteria,DNA,linear,-0.345061367621274,0.00771883286115669
Beihai picorna-like virus 83,Riboviria,BVJ88,invertebrates,RNA,linear,-0.0919929865575687,0.487318016984753
Halorubrum pleomorphic virus 12,Monodnaviria,HOV13,archaea,DNA,circular,-0.203915838690824,0.121211573730561
Sheldgoose hepatitis B virus,Riboviria,SHBV,vertebrates,DNA,circular,-0.35219170075979,0.00648765382203756
Microbacterium phage Efeko,Duplodnaviria,JTF60,bacteria,DNA,linear,0.477375496016488,0.000180748020516367
Jatropha mosaic virus,Monodnaviria,DU25,land plants,DNA,circular,-0.136177673874927,0.302887045569834
Gordonia phage BirksAndSocks,Duplodnaviria,HOS45,bacteria,DNA,linear,0.636703682057277,1.37856260216832e-07
Deformed wing virus,Riboviria,DWVgp1,invertebrates,ss-RNA,linear,-0.416832261835184,0.0011255730229313
Escherichia phage Tls,Duplodnaviria,PTLS,bacteria,DNA,linear,-0.308474576271187,0.0178001571084556
Sicyonia brevirostris associated circular virus,Monodnaviria,AMQ99,invertebrates,DNA,circular,-0.261517429938483,0.0518228749012498
Roseobacter phage RDJL Phi 1,Duplodnaviria,RDJLphi1,bacteria,DNA,circular,0.50385739333723,5.99071928176261e-05
Klebsiella phage KpCHEMY26,Duplodnaviria,HYP97,bacteria,DNA,linear,-0.113617767387493,0.390545697514176
Aeromonas phage phiO18P,Duplodnaviria,phiO18,bacteria,DNA,linear,0.433489187609585,0.000678161630576572
Torque teno midi virus 1,Anelloviridae,TTMidiV,human,ss-DNA,circular,-0.289421390999416,0.0265425515475654
Streptomyces phage Picard,Duplodnaviria,HOR45,bacteria,DNA,linear,0.553594389246055,7.85707136228179e-06
Haartman Institute snake virus,Riboviria,FLA07,vertebrates,RNA,linear,-0.425073056691993,0.00087865617840122
Enterobacterial phage mEp390,Duplodnaviria,F859,bacteria,DNA,linear,-0.0248977206312098,0.85122954884075
Bovine adeno-associated virus,Monodnaviria,BAAV,vertebrates,DNA,circular,0.175920514319112,0.186044241270341
Sulfitobacter phage EE36phi1,Duplodnaviria,EE36P1,bacteria,DNA,linear,0.0175920514319112,0.894632110474512
Cryphonectria hypovirus 2,NA,CHVgp,NA,ds-RNA,linear,-0.14114552893045,0.285459676239718
Escherichia phage LL11,Duplodnaviria,HOU19,bacteria,DNA,linear,-0.235008766803039,0.0733207717867027
Phalaenopsis equestris amalgavirus 1,NA,EXJ43,NA,RNA,linear,-0.0315604909409702,0.812024644556175
Pandoravirus inopinatum,unclassified viruses,TW95,protozoa,DNA,linear,0.197077732320281,0.134410385545805
Swinepox virus,Varidnaviria,SWPVgp,vertebrates,DNA,linear,-0.507714786674459,5.16875701972711e-05
Mink bocavirus 1,Monodnaviria,BHR85,vertebrates,DNA,linear,-0.418176504967855,0.00108143816637879
Helicoverpa armigera iflavirus,Riboviria,B0D93,invertebrates,RNA,linear,-0.438632378725891,0.000577100432188788
Escherichia phage N30,Duplodnaviria,HOU33,bacteria,DNA,linear,0.148684979544126,0.260304604733848
Beihai picorna-like virus 58,Riboviria,BVK40,invertebrates,RNA,linear,-0.223787258912916,0.0884599264743129
Mycobacterium phage Halo,NA,Halo,NA,DNA,linear,0.454120397428404,0.000349866260870022
Batai virus,Riboviria,FLA96,human:invertebrates:vertebrates,RNA,linear,-0.458679135008767,0.000300663695981696
Dragonfly-associated microphage 1,unclassified viruses,D304,invertebrates,ss-DNA,circular,0.0514319111630625,0.698157666726363
Mycobacterium phage Sumter,Duplodnaviria,JMO01,bacteria,DNA,linear,0.522735242548217,2.86438847050307e-05
Beihai sipunculid worm virus 3,Riboviria,BVK78,invertebrates,RNA,linear,-0.00496785505552309,0.970292554278542
Dragonfly larvae associated circular virus-5,unclassified viruses,BA86,invertebrates,ss-DNA,circular,0.375742102187087,0.00386400082924738
Chalara elegans RNA Virus 1,Riboviria,TBDV1gp,fungi,RNA,linear,0.0263004091174752,0.842942490291679
Wenzhou picorna-like virus 12,Riboviria,BWS98,invertebrates,RNA,linear,-0.433664523670368,0.000674467356416175
Acinetobacter phage vB AbaP B5,NA,FDI32,NA,NA,NA,-0.289830508474576,0.0263223066861009
Erwinia phage pEa SNUABM 32,NA,MPK67,NA,NA,NA,0.150789012273524,0.253561553538627
Mycobacterium phage Heath,NA,KNV18,NA,DNA,linear,0.588953828170661,1.55494664012012e-06
Klebsiella phage vB KpnP SU552A,NA,AVT67,NA,NA,NA,0.233781414377557,0.0748679549125177
Gordonia phage BritBrat,Duplodnaviria,BH769,bacteria,DNA,linear,0.526066627703098,2.50430410035662e-05
Streptococcus phage TP-J34,Duplodnaviria,H316,bacteria,DNA,linear,-0.319929865575687,0.0138386047136197
Escherichia phage vB EcoP C,NA,HOR58,NA,NA,NA,-0.1822910578609,0.166634388124448
Koala retrovirus,Riboviria,M957,vertebrates,DNA,linear,-0.181648158971362,0.168154365432616
Simian adenovirus 25,NA,NA,NA,DNA,linear,0.382174167153711,0.00299845945890534
Mycobacterium phage EvilGenius,Duplodnaviria,SEA,bacteria,DNA,linear,0.585914669783752,1.79757822717892e-06
Salmonella phage vB SenS SB28,NA,KGB38,NA,NA,NA,-0.205318527177089,0.118631302660389
Escherichia phage flopper,Duplodnaviria,HWD01,bacteria,DNA,linear,-0.116656925774401,0.377929178804069
Enterobacteria phage ATK47,Duplodnaviria,KNT12,bacteria,DNA,linear,-0.233372296902396,0.0753894485780256
Buenaventura virus,Riboviria,KM593,invertebrates,RNA,linear,-0.411747516072472,0.00130762800022881
Aeromonas phage AhSzq-1,Duplodnaviria,HOT03,bacteria,DNA,linear,-0.177147866744594,0.179080755263696
Ustilaginoidea virens RNA virus 1,Riboviria,K741,fungi,RNA,linear,-0.294506136762127,0.0239131163933566
Providencia phage vB PreS PR1,NA,FDH30,NA,NA,NA,-0.273816481589714,0.0361858245626738
Mycobacterium phage Phineas,Duplodnaviria,I5J44,bacteria,DNA,linear,0.442723553477499,0.000506718289074147
Enterococcus phage phiEF24C-P2,Duplodnaviria,HOS05,bacteria,DNA,circular,-0.394623027469316,0.00213261795654616
Sida golden mosaic Braco virus-[Jamaica:Liguanea:2008],NA,D1Q80,NA,DNA,circular,-0.197253068381064,0.134058883763697
Yongjia Tick Virus 2,Riboviria,BJK17,invertebrates,RNA,linear,-0.304383401519579,0.0194334760026901
Sin Nombre orthohantavirus,Riboviria,SNV,human:vertebrates,cRNA,linear,-0.394915254237288,0.00211531466663566
Rodent arterivirus,Riboviria,EXI88,vertebrates,RNA,linear,-0.164114552893045,0.213625479663324
Macaca mulatta papillomavirus 6,Monodnaviria,EXK82,vertebrates,DNA,circular,-0.27323202805377,0.0365974562900627
Solanum nodiflorum mottle virus,Riboviria,B1T59,land plants,RNA,linear,-0.196434833430742,0.135705200466189
Sida golden mosaic Lara virus,NA,D1Q81,NA,DNA,circular,-0.199240210403273,0.130123734714684
Hubei sobemo-like virus 25,Riboviria,BVB29,invertebrates,RNA,linear,-0.0123319696084161,0.926082251126443
Wuhan house centipede virus 2,Riboviria,BZK00,invertebrates,RNA,linear,-0.440853302162478,0.000537860796411628
Weissella phage phiYS61,Duplodnaviria,phiYS61,bacteria,DNA,linear,-0.177381648158971,0.178500712831643
Mycobacterium phage Nivrat,Duplodnaviria,I5H71,bacteria,DNA,linear,0.461367621274109,0.000274701674117865
Streptococcus phage phiARI0468-4,Duplodnaviria,BOW96,bacteria,DNA,linear,-0.367855055523086,0.00437162722063875
Mycobacterium phage Cane17,Duplodnaviria,KHO59,bacteria,DNA,linear,0.638515488018703,1.24934085462524e-07
Shigella phage SP18,Duplodnaviria,SP18,bacteria,DNA,linear,-0.174517825832846,0.185701105010568
Bhendi yellow vein betasatellite,Tolecusatellitidae,ByvmvDbgp1,land plants,ss-DNA,linear,-0.261324041811847,0.094679219518099
Cotton chlorotic spot virus,Monodnaviria,D1S67,land plants,DNA,circular,-0.414552893045003,0.00120414372320118
Salinivibrio phage CW02,Duplodnaviria,F490,bacteria,DNA,linear,-0.135651665692577,0.304772041285439
Pohorje myodes paramyxovirus 1,NA,KM512,NA,RNA,linear,-0.419871420222092,0.00102802229300507
Lactococcus phage vB Llc bIBBE1,NA,KMC91,NA,NA,NA,-0.369491525423729,0.0041905690103092
Tomato leaf curl Patna betasatellite,Tolecusatellitidae,ToLCPVDb,land plants,ss-DNA,circular,-0.391131221719457,0.00480810598210835
Enterobacteria phage HK620,Duplodnaviria,HK620p,bacteria,DNA,circular,-0.214728229105786,0.102398695235917
Equine parvovirus H,Monodnaviria,EXK06,vertebrates,DNA,linear,-0.233372296902396,0.0753894485780256
Beihai picorna-like virus 107,Riboviria,BVK32,invertebrates,RNA,linear,-0.303915838690824,0.0196280568193253
Spinach yellow vein Sikar virus,Monodnaviria,X991,land plants,DNA,circular,-0.274576271186441,0.0356564879338638
Mycobacterium phage Apizium,Duplodnaviria,AU098,bacteria,DNA,linear,0.498188194038574,7.42012546766027e-05
Diabrotica virgifera virgifera virus 3,unclassified viruses,B7L78,invertebrates,RNA,linear,-0.418293395675044,0.00107767529792116
Pseudomonas phage MP48,Duplodnaviria,LA67,bacteria,DNA,linear,0.537054354178843,1.59345768131424e-05
Staphylococcus phage phiSa2wa st1,NA,KMD34,NA,NA,NA,-0.458036236119229,0.000307195780405741
Hybanthus yellow mosaic virus,Monodnaviria,L1Q64,land plants,DNA,circular,-0.133372296902396,0.313028345227369
Rat parvovirus 1,NA,D1R63,NA,DNA,linear,-0.285440874914559,0.0333270061916043
Pan troglodytes polyomavirus 7,Monodnaviria,G142,vertebrates,DNA,circular,-0.545310245310245,2.28933520480318e-05
Trematomus bernacchii polyomavirus 1,Monodnaviria,EXJ92,vertebrates,DNA,circular,-0.424722384570427,0.000888070644738131
Bat associated circovirus 5,Monodnaviria,D1Q10,vertebrates,DNA,circular,-0.402939166097061,0.00224038402357327
Pistachio ampelovirus A,Riboviria,KM647,land plants,RNA,linear,-0.46990064289889,0.000205293642440207
Staphylococcus phage P1105,Duplodnaviria,HWA91,bacteria,DNA,linear,-0.46125073056692,0.00027578634275955
Tomato yellow leaf curl Shuangbai virus - [Y4536],Monodnaviria,A6773,land plants,ss-DNA,circular,-0.412974868497955,0.00126140488054838
Dicliptera yellow mottle virus,Monodnaviria,Dymv,land plants,ss-DNA,circular,-0.337872589129164,0.00916293755672711
Giardia lamblia virus,Riboviria,GLVgp,protozoa,ds-RNA,linear,-0.172589129164231,0.190667493492351
Rhynchobatus djiddensis polyomavirus 1,Monodnaviria,TH92,vertebrates,DNA,circular,-0.403156049094097,0.00167635710717381
Cercopithecine betaherpesvirus 5,Duplodnaviria,CeHV,human:vertebrates,DNA,linear,-0.0528930450029223,0.690008481560921
Mouse kobuvirus M-5/USA/2010,Riboviria,B187,vertebrates,RNA,linear,0.416423144360023,0.00113932482875043
Rhodococcus phage REQ1,Duplodnaviria,RoPhREQ1,bacteria,DNA,linear,0.615955581531268,4.09240238516976e-07
Pyrobaculum filamentous virus 1,Adnaviria,A0E62,archaea,DNA,linear,-0.456808883693746,0.0003200278981051
Burkholderia phage BcepSaruman,Duplodnaviria,H1O16,bacteria,DNA,linear,0.528988895382817,2.22359409747144e-05
Mycobacterium phage DLane,Duplodnaviria,FGG21,bacteria,DNA,linear,0.470075978959673,0.000204053544696797
Andean potato mild mosaic virus,Riboviria,I864,land plants,RNA,linear,0.218877849210988,0.0958150832145552
Pseudomonas phage vB PaeM USP 1,NA,H6S70,NA,NA,NA,0.433781414377557,0.000672014674631375
Proteus phage PM135,Duplodnaviria,FDJ15,bacteria,DNA,linear,-0.362828755113969,0.00497186691147196
Salmonella phage Marshall,Duplodnaviria,Marshall,bacteria,DNA,linear,-0.0946814728229106,0.474637495149664
Mycobacterium phage Seagreen,Duplodnaviria,SEAGREEN,bacteria,DNA,linear,0.465634132086499,0.000237685261357466
Respiratory syncytial virus,Riboviria,Rsvgp,human:vertebrates,RNA,linear,-0.421215663354763,0.000987367902403174
Citrobacter phage CR44b,Duplodnaviria,CF82,bacteria,DNA,linear,0.245470485096435,0.0611480500830443
Escherichia phage HK542,Duplodnaviria,F864,bacteria,DNA,linear,-0.0554646405610754,0.67575162905344
Badger associated gemykibivirus 1,Monodnaviria,XF38,vertebrates,DNA,linear,0.0190531852717709,0.885922600882906
Galleria mellonella densovirus,Monodnaviria,GmDNVgp,invertebrates,ss-DNA,linear,-0.374868497954413,0.00364160878481028
Streptococcus phage Sfi19,Duplodnaviria,Sfi19p,bacteria,DNA,linear,-0.322910578609001,0.0129423560095862
Beihai sobemo-like virus 17,Riboviria,BVB42,invertebrates,RNA,linear,-0.132378725891292,0.316671990541536
Human hepegivirus,Riboviria,D1Q59,human,RNA,linear,-0.164640561075395,0.212146015827905
Ixeridium yellow mottle virus 1,Riboviria,A3Q44,land plants,RNA,linear,-0.352016364699006,0.0065157210513554
crAssphage cr128 1,NA,KNV43,NA,NA,NA,-0.416540035067212,0.00113538033200959
Rabbit fibroma virus,Varidnaviria,SFV,vertebrates,DNA,linear,-0.488427819988311,0.000106399969902828
Acinetobacter phage vB AbaP B3,NA,FDI31,NA,NA,NA,-0.289538281706604,0.026479465966752
Feline infectious peritonitis virus,Riboviria,FIPV,vertebrates,RNA,linear,-0.270134424313267,0.0388448638276125
Honeysuckle yellow vein mosaic virus-[Japan:Miyazaki:2001],Monodnaviria,KM464,land plants,DNA,circular,-0.285973115137347,0.0284615940491104
Quezon virus,Riboviria,CAB95,vertebrates,ss-RNA,linear,-0.424956165984804,0.000881784237289154
Acinetobacter phage YMC13/03/R2096,Duplodnaviria,ACQ36,bacteria,DNA,linear,-0.307422559906487,0.018208480650434
Mycobacterium phage Blue,Duplodnaviria,JMN53,bacteria,DNA,linear,0.534950321449445,1.7394303359818e-05
Trichechus manatus latirostris papillomavirus 2,Monodnaviria,TMLPV,vertebrates,DNA,circular,-0.365166569257744,0.00468416997927496
Halastavi arva RNA virus,Riboviria,HalV,vertebrates,RNA,linear,0.0972530683810637,0.462676484570403
Kelp fly virus,Riboviria,KFV,invertebrates,RNA,linear,-0.296025715955582,0.0231716019126794
Sclerotinia sclerotiorum debilitation-associated RNA virus,Riboviria,SSDRV,fungi,ss-RNA,linear,-0.349503214494448,0.00692992316902711
Changjiang narna-like virus 1,Riboviria,BWV50,invertebrates,RNA,linear,0.0822910578609001,0.534529371444864
Odonata-associated circular virus-7,unclassified viruses,EXL05,invertebrates,ss-DNA,circular,-0.38947983635301,0.00245865730885899
Arthrobacter phage Yang,Duplodnaviria,HOU52,bacteria,DNA,linear,0.505493863237873,5.62825442556441e-05
Pseudomonas phage YMC12/01/R960,Duplodnaviria,MPI97,bacteria,DNA,linear,0.537872589129164,1.53984349620265e-05
Aspergillus fumigatus polymycovirus 1,Riboviria,F2Q13,fungi,RNA,linear,0.445528930450029,0.000463075748527903
Diatom colony associated dsRNA virus 15,NA,EXJ41,NA,RNA,linear,-0.406779661016949,0.00151073741938559
Escherichia phage muut,Duplodnaviria,JR322,bacteria,DNA,linear,-0.301227352425482,0.02077952537453
Escherichia phage vB EcoS ESCO41,NA,HOR71,NA,NA,NA,-0.147632963179427,0.263721324645875
Salmonella phage Sw2,Duplodnaviria,HOU17,bacteria,DNA,linear,-0.199240210403273,0.130123734714684
tottorivirus A1,NA,KM501,NA,RNA,linear,-0.235885447106955,0.0722314075785283
Wuhan sharpbelly bornavirus,Riboviria,KM513,vertebrates,RNA,linear,-0.219053185271771,0.0955443913752597
Lactococcus phage 62601,Duplodnaviria,HYP34,bacteria,DNA,linear,-0.397486849795441,0.00196839013173018
Klebsiella phage vB KpnM BIS47,NA,BIS47,NA,NA,NA,-0.156633547632963,0.235459989551357
Watermelon chlorotic stunt virus,Monodnaviria,WmCSV,land plants,ss-DNA,circular,-0.250847457627119,0.055561502322592
Avian metaavulavirus 20,Riboviria,EXL22,vertebrates,ss-RNA,linear,-0.412682641729983,0.00127227457301992
Sauropus leaf curl virus,Monodnaviria,D1Q77,land plants,DNA,circular,-0.278667445938048,0.0329161742961773
Sporobolus striate mosaic virus 1,Monodnaviria,C411,land plants,ss-DNA,circular,0.168556399766219,0.201359901164829
Cronobacter phage vB CsaM GAP31,NA,GAP31,NA,NA,NA,-0.0295149035651666,0.824016899795446
Ageratum yellow vein China betasatellite,Tolecusatellitidae,AYVCVDbp1,land plants,ss-DNA,circular,-0.283655083655084,0.0937998906703254
Enterococcus phage IME-EFm1,Duplodnaviria,IME_001,bacteria,DNA,linear,-0.346230274693162,0.00750394125391253
Malvastrum yellow vein Honghe virus,Monodnaviria,BFS43,land plants,DNA,circular,-0.361367621274109,0.00515951636354059
Mycobacterium phage Fredward,Duplodnaviria,V424,bacteria,DNA,circular,0.607422559906488,6.29701877822367e-07
Leuconostoc phage Ln-8,Duplodnaviria,ACQ48,bacteria,DNA,linear,-0.358912916423144,0.00548889108881402
Sulfolobus polyhedral virus 2,Portogloboviridae,KM458,archaea,DNA,circular,-0.489129164231444,0.000103714174734143
Vibrio phage 1.249.A. 10N.261.55.B9,NA,KMD63,NA,NA,NA,-0.34406779661017,0.00790571452856251
Wenzhou picorna-like virus 33,Riboviria,BWS77,invertebrates,RNA,linear,-0.0115137346580947,0.930985929967418
Jugra virus,NA,B1T89,NA,RNA,linear,-0.372530683810637,0.00387189505514784
Ectropis obliqua nucleopolyhedrovirus,Naldaviricetes,EONV,invertebrates,DNA,circular,-0.377147866744594,0.00342889240781406
Sphaeropsis sapinea RNA virus 2,NA,SsRv2gp,NA,RNA,linear,0.41531268264173,0.00117741978758
Hubei sobemo-like virus 22,Riboviria,BVB32,invertebrates,RNA,linear,-0.301402688486265,0.0207027108458086
Canis familiaris papillomavirus 8,Monodnaviria,CPV8,vertebrates,DNA,circular,-0.275862068965517,0.0347754270288726
Flavobacterium phage FCL-2,Duplodnaviria,ABG42,bacteria,DNA,linear,-0.469666861484512,0.000206957864630892
Hepatitis C virus genotype 5,Riboviria,HCV5,human:vertebrates,RNA,linear,0.0668030391583869,0.614297913175922
Cryphonectria parasitica mitovirus 1-NB631,Riboviria,CpmV1gp1,fungi,ds-RNA,linear,-0.459906487434249,0.000288545009281095
Cyanophage S-RIM50,Duplodnaviria,BJD43,bacteria,DNA,linear,-0.186323787258913,0.157330149836048
Circovirus-like genome DHCV-2,NA,BBV85,NA,ss-DNA,circular,-0.324839275277616,0.0123895991744018
Pseudomonas phage MD8,Duplodnaviria,BI094,bacteria,DNA,linear,0.499415546464056,7.08628520173756e-05
Hyperthermophilic Archaeal Virus 2,unclassified archaeal viruses,HAV2,NA,DNA,circular,-0.0112799532437171,0.932387460969321
Cassava common mosaic virus,Riboviria,CsCMVgp,land plants,ss-RNA,linear,-0.244886031560491,0.0617818100773976
Hubei picorna-like virus 46,Riboviria,BVA75,invertebrates,RNA,linear,-0.375557537912578,0.00388255127577485
Free State vervet virus,Riboviria,A6775,vertebrates,RNA,linear,0.141963763880772,0.282654341811541
Beihai picorna-like virus 117,Riboviria,BVK22,invertebrates,RNA,linear,-0.142197545295149,0.281856193137601
Wenzhou narna-like virus 4,Riboviria,BVF75,invertebrates,RNA,linear,0.106019871420222,0.423165151293131
Lactobacillus phage phig1e,Duplodnaviria,phig1ep,bacteria,DNA,circular,-0.387025131502046,0.00262944797957656
Mothra virus,Riboviria,FLA22,invertebrates,RNA,linear,-0.427410870835769,0.00081816956573167
Gordonia phage Jellybones,Duplodnaviria,HWC76,bacteria,DNA,linear,0.649210987726476,6.87143140214179e-08
Bamaga virus,Riboviria,B1T84,invertebrates,RNA,linear,-0.332554061952075,0.0103781752454575
Escherichia phage vB EcoM-G28,NA,KMC08,NA,NA,NA,-0.305669199298656,0.0189068650558309
Beihai picorna-like virus 39,Riboviria,BVK64,invertebrates,RNA,linear,0.0732320280537697,0.580563700856597
Salivirus A,Riboviria,Hk1,human:vertebrates,RNA,linear,0.452893045002922,0.000364315556380687
Cronobacter phage Dev2,Duplodnaviria,BN930,bacteria,DNA,linear,0.434132086499123,0.000664705171582749
Escherichia phage PA2,Duplodnaviria,AS349,bacteria,DNA,linear,-0.19666861484512,0.135233271052062
Camel associated porprismacovirus 3,Monodnaviria,D1U65,vertebrates,DNA,circular,-0.288566243194192,0.0283903445050573
Pseudomonas phage phi12,Riboviria,phi,bacteria,ds-RNA,linear,0.530333138515488,2.10456556083165e-05
Staphylococcus phage CSA13,Duplodnaviria,HOV16,bacteria,DNA,linear,-0.422498385062598,0.00105397329015325
Ageratum yellow vein Pakistan alphasatellite,Alphasatellitidae,BWU76,land plants,DNA,circular,-0.369393310863365,0.00492688644185376
Avian metapneumovirus,Riboviria,AMPV,vertebrates,RNA,linear,-0.475686732904734,0.000167820061471084
Beihai sobemo-like virus 5,Riboviria,BWU90,invertebrates,RNA,linear,0.0282875511396844,0.83123182223148
